31-03-2026 19:30:54 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:30:55 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/7
31-03-2026 19:30:55 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:30:56 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/6
31-03-2026 19:30:56 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:30:56 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/5
31-03-2026 19:30:56 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:30:57 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/4
31-03-2026 19:30:57 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:30:58 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/3
31-03-2026 19:30:58 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:31:00 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/2
31-03-2026 19:31:00 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:31:04 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:31:04 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:31:12 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:31:12 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:31:15 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:31:15 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:31:19 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:31:30 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:31:30 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:31:36 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:31:59 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:32:00 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:34:22 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:34:26 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:34:26 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:34:27 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/18
31-03-2026 19:34:27 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:35:53 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:35:54 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:35:58 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:35:58 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:35:59 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos/4
31-03-2026 19:35:59 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:36:09 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:36:10 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
